ITER,  Rosenbrock1
1,  100.0
2,  80.71385599999996
3,  14.83818162707427
4,  3.241405477486693
5,  0.17173024801272802
6,  0.1246828040989523
7,  0.12455764743511018
8,  0.12455143841067406
9,  0.12451898092344715
10,  0.12435666852586474
11,  0.12354676142306655
12,  0.1195388920262862
13,  0.10063367475156383
14,  0.0858055213425686
15,  0.059637179070871085
16,  0.043648226151775674
17,  0.08541474448044067
18,  0.03201399247702555
19,  0.02357157293060269
20,  0.013708871122716685
21,  0.004404326514028533
22,  0.001428322848725874
23,  0.0002434824772229654
24,  0.0004022992443113281
25,  6.950835122495007e-05
26,  3.7128572918490013e-06
27,  3.603781747418679e-08
28,  5.84036784169082e-10
